Year,Non-fire related loss (hectares),Fire related loss (hectares),Total loss (hectares)
2002,3200000,200000,3400000
2003,3400000,200000,3600000
2004,3400000,200000,3600000
2005,2900000,200000,3100000
2006,3200000,200000,3400000
2007,3000000,200000,3200000
2008,2900000,200000,3100000
2009,2600000,200000,2800000
2010,2500000,200000,2700000
2011,3000000,200000,3200000
2012,2600000,200000,2800000
2013,3200000,200000,3400000
2014,3500000,300000,3800000
2015,3000000,1000000,4000000
2016,3800000,2400000,6200000
2017,3500000,1200000,4700000
2018,3100000,1100000,4200000
2019,3300000,1400000,4700000
2020,3400000,1100000,4500000
2021,3200000,1200000,4400000
2022,3300000,1200000,4500000
